,Features,Gain Ratio,Dataset,Threshold
0,NOP_method,0.030496307063647986,Datasets/FeatureEnvy,0.04464735464615944
1,CC_method,0.013486290947396418,Datasets/FeatureEnvy,0.04464735464615944
2,ATFD_method,0.16147154592206583,Datasets/FeatureEnvy,0.04464735464615944
3,FDP_method,0.17858200499282906,Datasets/FeatureEnvy,0.04464735464615944
4,CM_method,0.01817496133291961,Datasets/FeatureEnvy,0.04464735464615944
5,MAXNESTING_method,0.07480605031473754,Datasets/FeatureEnvy,0.04464735464615944
6,LOC_method,0.07492906848479704,Datasets/FeatureEnvy,0.04464735464615944
7,CYCLO_method,0.07679295157701659,Datasets/FeatureEnvy,0.04464735464615944
8,NMCS_method,0.12120770612305592,Datasets/FeatureEnvy,0.04464735464615944
9,NOLV_method,0.054940370173855044,Datasets/FeatureEnvy,0.04464735464615944
10,MaMCL_method,0.1495590213232593,Datasets/FeatureEnvy,0.04464735464615944
11,NOAV_method,0.07427414342453606,Datasets/FeatureEnvy,0.04464735464615944
12,LAA_method,0.11355597383211417,Datasets/FeatureEnvy,0.04464735464615944
13,FANOUT_method,0.07996390363499585,Datasets/FeatureEnvy,0.04464735464615944
14,CFNAMM_method,0.0690771627593333,Datasets/FeatureEnvy,0.04464735464615944
15,ATLD_method,0.02041280226515512,Datasets/FeatureEnvy,0.04464735464615944
16,CLNAMM_method,0.03411831165722115,Datasets/FeatureEnvy,0.04464735464615944
17,CINT_method,0.08866672162383248,Datasets/FeatureEnvy,0.04464735464615944
18,MeMCL_method,0.15584969700564186,Datasets/FeatureEnvy,0.04464735464615944
19,CDISP_method,0.08982207635023982,Datasets/FeatureEnvy,0.04464735464615944
20,NOII_type,0.0023196591792135892,Datasets/FeatureEnvy,0.04464735464615944
21,NOAM_type,0.02117478438684986,Datasets/FeatureEnvy,0.04464735464615944
22,NOCS_type,0.018182393215343717,Datasets/FeatureEnvy,0.04464735464615944
23,NOM_type,0.033479267267991324,Datasets/FeatureEnvy,0.04464735464615944
24,NMO_type,0.022528054961089946,Datasets/FeatureEnvy,0.04464735464615944
25,ATFD_type,0.08471909501659544,Datasets/FeatureEnvy,0.04464735464615944
26,FANOUT_type,0.04347736366794533,Datasets/FeatureEnvy,0.04464735464615944
27,NOMNAMM_type,0.026879293235022167,Datasets/FeatureEnvy,0.04464735464615944
28,NOA_type,0.0202745871553822,Datasets/FeatureEnvy,0.04464735464615944
29,NIM_type,0.03850121699234734,Datasets/FeatureEnvy,0.04464735464615944
30,DIT_type,0.009362398347639097,Datasets/FeatureEnvy,0.04464735464615944
31,LOC_type,0.07147181132369644,Datasets/FeatureEnvy,0.04464735464615944
32,LOCNAMM_type,0.07255451033383448,Datasets/FeatureEnvy,0.04464735464615944
33,CFNAMM_type,0.0546393981941437,Datasets/FeatureEnvy,0.04464735464615944
34,TCC_type,0.05697995394942439,Datasets/FeatureEnvy,0.04464735464615944
35,NOPA_type,0.02143725178691011,Datasets/FeatureEnvy,0.04464735464615944
36,CBO_type,0.04828424069518134,Datasets/FeatureEnvy,0.04464735464615944
37,RFC_type,0.05527783004141932,Datasets/FeatureEnvy,0.04464735464615944
38,NOC_type,0.02382741159062141,Datasets/FeatureEnvy,0.04464735464615944
39,WMC_type,0.05582709172711112,Datasets/FeatureEnvy,0.04464735464615944
40,LCOM5_type,0.05773416003578198,Datasets/FeatureEnvy,0.04464735464615944
41,WOC_type,0.04023620032131895,Datasets/FeatureEnvy,0.04464735464615944
42,WMCNAMM_type,0.05382403006365535,Datasets/FeatureEnvy,0.04464735464615944
43,AMW_type,0.06913754609927421,Datasets/FeatureEnvy,0.04464735464615944
44,AMWNAMM_type,0.07107881913861158,Datasets/FeatureEnvy,0.04464735464615944
45,NOCS_package,0.03467918133416881,Datasets/FeatureEnvy,0.04464735464615944
46,NOMNAMM_package,0.052327324472530065,Datasets/FeatureEnvy,0.04464735464615944
47,NOI_package,0.018110687952030347,Datasets/FeatureEnvy,0.04464735464615944
48,LOC_package,0.06719153491470857,Datasets/FeatureEnvy,0.04464735464615944
49,NOM_package,0.056399320341425335,Datasets/FeatureEnvy,0.04464735464615944
50,NOPK_project,0.018879764172115093,Datasets/FeatureEnvy,0.04464735464615944
51,NOCS_project,0.02224560423787029,Datasets/FeatureEnvy,0.04464735464615944
52,NOI_project,0.021941780812458393,Datasets/FeatureEnvy,0.04464735464615944
53,NOM_project,0.022927310842913037,Datasets/FeatureEnvy,0.04464735464615944
54,NOMNAMM_project,0.022927310842912996,Datasets/FeatureEnvy,0.04464735464615944
55,LOC_project,0.02292731084291302,Datasets/FeatureEnvy,0.04464735464615944
56,isStatic_type,2.984319392136346e-05,Datasets/FeatureEnvy,0.04464735464615944
57,number_private_visibility_attributes,0.022479209816405495,Datasets/FeatureEnvy,0.04464735464615944
58,number_protected_visibility_attributes,0.028677204255249576,Datasets/FeatureEnvy,0.04464735464615944
59,number_package_visibility_attributes,0.03325841896294485,Datasets/FeatureEnvy,0.04464735464615944
60,num_final_attributes,0.01853380067608793,Datasets/FeatureEnvy,0.04464735464615944
61,num_static_attributes,0.0212543822245604,Datasets/FeatureEnvy,0.04464735464615944
62,num_final_static_attributes,0.019570360696211916,Datasets/FeatureEnvy,0.04464735464615944
63,num_not_final_not_static_attributes,0.021826693868838568,Datasets/FeatureEnvy,0.04464735464615944
64,num_final_not_static_attributes,0.01975440728273674,Datasets/FeatureEnvy,0.04464735464615944
65,num_static_not_final_attributes,0.01717752874723199,Datasets/FeatureEnvy,0.04464735464615944
66,number_public_visibility_methods,0.02817181206969852,Datasets/FeatureEnvy,0.04464735464615944
67,number_private_visibility_methods,0.020649106806706768,Datasets/FeatureEnvy,0.04464735464615944
68,number_protected_visibility_methods,0.02293630961062821,Datasets/FeatureEnvy,0.04464735464615944
69,number_package_visibility_methods,0.03493746204105884,Datasets/FeatureEnvy,0.04464735464615944
70,number_final_methods,0.0302267924143175,Datasets/FeatureEnvy,0.04464735464615944
71,number_abstract_methods,0.014241740403539021,Datasets/FeatureEnvy,0.04464735464615944
72,number_not_abstract_not_final_methods,0.02979457518883354,Datasets/FeatureEnvy,0.04464735464615944
73,number_static_methods,0.022763549094493546,Datasets/FeatureEnvy,0.04464735464615944
74,number_final_static_methods,0.01523872307896118,Datasets/FeatureEnvy,0.04464735464615944
75,number_final_not_static_methods,0.03644401481409965,Datasets/FeatureEnvy,0.04464735464615944
76,number_not_final_static_methods,0.02527723181646702,Datasets/FeatureEnvy,0.04464735464615944
77,number_not_final_not_static_methods,0.02694964601150349,Datasets/FeatureEnvy,0.04464735464615944
78,number_standard_design_methods,0.02759951295349401,Datasets/FeatureEnvy,0.04464735464615944
79,number_constructor_DefaultConstructor_methods,0.00044038890910826534,Datasets/FeatureEnvy,0.04464735464615944
80,number_constructor_NotDefaultConstructor_methods,0.007151105996614648,Datasets/FeatureEnvy,0.04464735464615944
81,isStatic_method,0.0017466897502604788,Datasets/FeatureEnvy,0.04464735464615944
