,Features,Gain Ratio,Dataset,Threshold
0,NOP_method,0.06760055052307189,Datasets/LongMethod,0.05248424605591703
1,CC_method,0.006254765467179126,Datasets/LongMethod,0.05248424605591703
2,ATFD_method,0.06849728060945544,Datasets/LongMethod,0.05248424605591703
3,FDP_method,0.09095580673129608,Datasets/LongMethod,0.05248424605591703
4,CM_method,0.008859305887623545,Datasets/LongMethod,0.05248424605591703
5,MAXNESTING_method,0.20650362459697288,Datasets/LongMethod,0.05248424605591703
6,LOC_method,0.10150460468947561,Datasets/LongMethod,0.05248424605591703
7,CYCLO_method,0.14363646729419238,Datasets/LongMethod,0.05248424605591703
8,NMCS_method,0.08524554350241255,Datasets/LongMethod,0.05248424605591703
9,NOLV_method,0.11981550999214327,Datasets/LongMethod,0.05248424605591703
10,MaMCL_method,0.08587028252793112,Datasets/LongMethod,0.05248424605591703
11,NOAV_method,0.0980902702539348,Datasets/LongMethod,0.05248424605591703
12,LAA_method,0.07753184930347201,Datasets/LongMethod,0.05248424605591703
13,FANOUT_method,0.08588872382412732,Datasets/LongMethod,0.05248424605591703
14,CFNAMM_method,0.09107285270938532,Datasets/LongMethod,0.05248424605591703
15,ATLD_method,0.05774739660366625,Datasets/LongMethod,0.05248424605591703
16,CLNAMM_method,0.08785684136165504,Datasets/LongMethod,0.05248424605591703
17,CINT_method,0.08922391782550661,Datasets/LongMethod,0.05248424605591703
18,MeMCL_method,0.08262070384426214,Datasets/LongMethod,0.05248424605591703
19,CDISP_method,0.093366657406574,Datasets/LongMethod,0.05248424605591703
20,NOII_type,0.008246067795722895,Datasets/LongMethod,0.05248424605591703
21,NOAM_type,0.029001996153561704,Datasets/LongMethod,0.05248424605591703
22,NOCS_type,0.0216053164202274,Datasets/LongMethod,0.05248424605591703
23,NOM_type,0.038744371407332626,Datasets/LongMethod,0.05248424605591703
24,NMO_type,0.020907225477193526,Datasets/LongMethod,0.05248424605591703
25,ATFD_type,0.0533736242704444,Datasets/LongMethod,0.05248424605591703
26,FANOUT_type,0.0455741458449387,Datasets/LongMethod,0.05248424605591703
27,NOMNAMM_type,0.03838815614229695,Datasets/LongMethod,0.05248424605591703
28,NOA_type,0.041543048508210126,Datasets/LongMethod,0.05248424605591703
29,NIM_type,0.049515005138027264,Datasets/LongMethod,0.05248424605591703
30,DIT_type,0.010835023172193052,Datasets/LongMethod,0.05248424605591703
31,LOC_type,0.07703744858774775,Datasets/LongMethod,0.05248424605591703
32,LOCNAMM_type,0.07774024636726336,Datasets/LongMethod,0.05248424605591703
33,CFNAMM_type,0.054331681755297706,Datasets/LongMethod,0.05248424605591703
34,TCC_type,0.06561138691876578,Datasets/LongMethod,0.05248424605591703
35,NOPA_type,0.028088519904742308,Datasets/LongMethod,0.05248424605591703
36,CBO_type,0.0426361993091592,Datasets/LongMethod,0.05248424605591703
37,RFC_type,0.051627061407592864,Datasets/LongMethod,0.05248424605591703
38,NOC_type,0.03326714803140207,Datasets/LongMethod,0.05248424605591703
39,WMC_type,0.07002369684220497,Datasets/LongMethod,0.05248424605591703
40,LCOM5_type,0.070748536448645,Datasets/LongMethod,0.05248424605591703
41,WOC_type,0.04947412053892039,Datasets/LongMethod,0.05248424605591703
42,WMCNAMM_type,0.07389896549080736,Datasets/LongMethod,0.05248424605591703
43,AMW_type,0.08243999140908033,Datasets/LongMethod,0.05248424605591703
44,AMWNAMM_type,0.08589325315221345,Datasets/LongMethod,0.05248424605591703
45,NOCS_package,0.03685676929006685,Datasets/LongMethod,0.05248424605591703
46,NOMNAMM_package,0.06160157062043865,Datasets/LongMethod,0.05248424605591703
47,NOI_package,0.03213298033705964,Datasets/LongMethod,0.05248424605591703
48,LOC_package,0.07169823846311954,Datasets/LongMethod,0.05248424605591703
49,NOM_package,0.06345441213742073,Datasets/LongMethod,0.05248424605591703
50,NOPK_project,0.016911139605817457,Datasets/LongMethod,0.05248424605591703
51,NOCS_project,0.023446717298867832,Datasets/LongMethod,0.05248424605591703
52,NOI_project,0.019205837758170786,Datasets/LongMethod,0.05248424605591703
53,NOM_project,0.023281411674508985,Datasets/LongMethod,0.05248424605591703
54,NOMNAMM_project,0.02328141167450899,Datasets/LongMethod,0.05248424605591703
55,LOC_project,0.023281411674508996,Datasets/LongMethod,0.05248424605591703
56,isStatic_type,0.05252147571280654,Datasets/LongMethod,0.05248424605591703
57,number_private_visibility_attributes,0.04011529205962186,Datasets/LongMethod,0.05248424605591703
58,number_protected_visibility_attributes,0.04311714937437699,Datasets/LongMethod,0.05248424605591703
59,number_package_visibility_attributes,0.02542324862461101,Datasets/LongMethod,0.05248424605591703
60,num_final_attributes,0.04767725860442901,Datasets/LongMethod,0.05248424605591703
61,num_static_attributes,0.044811581875582235,Datasets/LongMethod,0.05248424605591703
62,num_final_static_attributes,0.03691547586260311,Datasets/LongMethod,0.05248424605591703
63,num_not_final_not_static_attributes,0.030846601789578737,Datasets/LongMethod,0.05248424605591703
64,num_final_not_static_attributes,0.04787420514965612,Datasets/LongMethod,0.05248424605591703
65,num_static_not_final_attributes,0.02338265180422452,Datasets/LongMethod,0.05248424605591703
66,number_public_visibility_methods,0.02717450664697797,Datasets/LongMethod,0.05248424605591703
67,number_private_visibility_methods,0.03594632552651951,Datasets/LongMethod,0.05248424605591703
68,number_protected_visibility_methods,0.04132328834375908,Datasets/LongMethod,0.05248424605591703
69,number_package_visibility_methods,0.050065737194140945,Datasets/LongMethod,0.05248424605591703
70,number_final_methods,0.05286619040768262,Datasets/LongMethod,0.05248424605591703
71,number_abstract_methods,0.04105898099457382,Datasets/LongMethod,0.05248424605591703
72,number_not_abstract_not_final_methods,0.03466927632417765,Datasets/LongMethod,0.05248424605591703
73,number_static_methods,0.03522565200340539,Datasets/LongMethod,0.05248424605591703
74,number_final_static_methods,0.03456293712319753,Datasets/LongMethod,0.05248424605591703
75,number_final_not_static_methods,0.05687578507239642,Datasets/LongMethod,0.05248424605591703
76,number_not_final_static_methods,0.03629611017276176,Datasets/LongMethod,0.05248424605591703
77,number_not_final_not_static_methods,0.04150674563783604,Datasets/LongMethod,0.05248424605591703
78,number_standard_design_methods,0.041043413958311285,Datasets/LongMethod,0.05248424605591703
79,number_constructor_DefaultConstructor_methods,0.002592310094020875,Datasets/LongMethod,0.05248424605591703
80,number_constructor_NotDefaultConstructor_methods,0.009611868545071225,Datasets/LongMethod,0.05248424605591703
81,isStatic_method,0.006357015700057365,Datasets/LongMethod,0.05248424605591703
