,Features,Gain Ratio,Dataset,Threshold
0,NOP_method,0.028397860645811835,Datasets/SwitchStatements,0.03830073965289068
1,CC_method,0.01335477686690608,Datasets/SwitchStatements,0.03830073965289068
2,ATFD_method,0.04644138013167914,Datasets/SwitchStatements,0.03830073965289068
3,FDP_method,0.041476307430526715,Datasets/SwitchStatements,0.03830073965289068
4,CM_method,0.013592090228868947,Datasets/SwitchStatements,0.03830073965289068
5,MAXNESTING_method,0.09681492202695113,Datasets/SwitchStatements,0.03830073965289068
6,LOC_method,0.0801530249154496,Datasets/SwitchStatements,0.03830073965289068
7,CYCLO_method,0.10092035365344729,Datasets/SwitchStatements,0.03830073965289068
8,NMCS_method,0.12771830097499312,Datasets/SwitchStatements,0.03830073965289068
9,NOLV_method,0.06418289384257794,Datasets/SwitchStatements,0.03830073965289068
10,MaMCL_method,0.07902259478419991,Datasets/SwitchStatements,0.03830073965289068
11,NOAV_method,0.06754248276260878,Datasets/SwitchStatements,0.03830073965289068
12,LAA_method,0.04966404268408374,Datasets/SwitchStatements,0.03830073965289068
13,FANOUT_method,0.045404006445390395,Datasets/SwitchStatements,0.03830073965289068
14,CFNAMM_method,0.054953304350705924,Datasets/SwitchStatements,0.03830073965289068
15,ATLD_method,0.03444306325771058,Datasets/SwitchStatements,0.03830073965289068
16,CINT_method,0.04821451225542487,Datasets/SwitchStatements,0.03830073965289068
17,MeMCL_method,0.07902259478419991,Datasets/SwitchStatements,0.03830073965289068
18,CDISP_method,0.06048545466397684,Datasets/SwitchStatements,0.03830073965289068
19,NOII_type,0.003968695912250936,Datasets/SwitchStatements,0.03830073965289068
20,NOAM_type,0.015769094122858044,Datasets/SwitchStatements,0.03830073965289068
21,NOCS_type,0.011439129693847543,Datasets/SwitchStatements,0.03830073965289068
22,NOM_type,0.025361643995655773,Datasets/SwitchStatements,0.03830073965289068
23,NMO_type,0.022724737415278917,Datasets/SwitchStatements,0.03830073965289068
24,ATFD_type,0.028268175773657075,Datasets/SwitchStatements,0.03830073965289068
25,FANOUT_type,0.022334448138653713,Datasets/SwitchStatements,0.03830073965289068
26,NOMNAMM_type,0.02076118026141697,Datasets/SwitchStatements,0.03830073965289068
27,NOA_type,0.016756082558804883,Datasets/SwitchStatements,0.03830073965289068
28,NIM_type,0.03504540296904916,Datasets/SwitchStatements,0.03830073965289068
29,DIT_type,0.009447687464942026,Datasets/SwitchStatements,0.03830073965289068
30,LOC_type,0.05555913235841353,Datasets/SwitchStatements,0.03830073965289068
31,LOCNAMM_type,0.05643552859104677,Datasets/SwitchStatements,0.03830073965289068
32,CFNAMM_type,0.055960924781807676,Datasets/SwitchStatements,0.03830073965289068
33,TCC_type,0.045773748180801765,Datasets/SwitchStatements,0.03830073965289068
34,NOPA_type,0.01149662900158803,Datasets/SwitchStatements,0.03830073965289068
35,CBO_type,0.023608230725497205,Datasets/SwitchStatements,0.03830073965289068
36,RFC_type,0.041259003571363737,Datasets/SwitchStatements,0.03830073965289068
37,NOC_type,0.010236054077093675,Datasets/SwitchStatements,0.03830073965289068
38,WMC_type,0.04110585364452303,Datasets/SwitchStatements,0.03830073965289068
39,LCOM5_type,0.04592951370284754,Datasets/SwitchStatements,0.03830073965289068
40,WOC_type,0.03482554059630971,Datasets/SwitchStatements,0.03830073965289068
41,WMCNAMM_type,0.04106925854029981,Datasets/SwitchStatements,0.03830073965289068
42,AMW_type,0.056315179239374014,Datasets/SwitchStatements,0.03830073965289068
43,AMWNAMM_type,0.060071488072704994,Datasets/SwitchStatements,0.03830073965289068
44,NOCS_package,0.016489628201528092,Datasets/SwitchStatements,0.03830073965289068
45,NOMNAMM_package,0.029958900473791898,Datasets/SwitchStatements,0.03830073965289068
46,NOI_package,0.006557630355062028,Datasets/SwitchStatements,0.03830073965289068
47,LOC_package,0.03142480618207852,Datasets/SwitchStatements,0.03830073965289068
48,NOM_package,0.030878398047945753,Datasets/SwitchStatements,0.03830073965289068
49,NOPK_project,0.011582495432262425,Datasets/SwitchStatements,0.03830073965289068
50,NOCS_project,0.01126449842414388,Datasets/SwitchStatements,0.03830073965289068
51,NOI_project,0.01126449842414388,Datasets/SwitchStatements,0.03830073965289068
52,NOM_project,0.01126449842414388,Datasets/SwitchStatements,0.03830073965289068
53,NOMNAMM_project,0.01126449842414388,Datasets/SwitchStatements,0.03830073965289068
54,LOC_project,0.01126449842414388,Datasets/SwitchStatements,0.03830073965289068
