,Classifier_1,Classifier_2,Test,Null Hypo,Win,Lost,Bon,BWin,Blost,Dataset,,,,Row Labels,Count of BWin,Count of Blost
0,DT,LR,Wilcoxon,Accept,,,Accept,,,GodClass,,,,DT,50,6
1,DT,SVM(Lin),Wilcoxon,Reject,SVM(Lin),DT,Accept,,,GodClass,,,,GP,66,3
2,DT,SVM(Poly),Wilcoxon,Reject,SVM(Poly),DT,Accept,,,GodClass,,,,KNN,26,47
3,DT,SVM(Sig),Wilcoxon,Accept,,,Accept,,,GodClass,,,,LDA,22,46
4,DT,SVM(RBF),Wilcoxon,Reject,SVM(RBF),DT,Accept,,,GodClass,,,,LR,30,33
5,DT,MLP,Wilcoxon,Reject,MLP,DT,Accept,,,GodClass,,,,MLP,50,14
6,DT,SGD,Wilcoxon,Reject,DT,SGD,Reject,DT,SGD,GodClass,,,,NB(B),7,81
7,DT,GP,Wilcoxon,Reject,GP,DT,Accept,,,GodClass,,,,NB(G),17,53
8,DT,NB(B),Wilcoxon,Reject,DT,NB(B),Reject,DT,NB(B),GodClass,,,,NB(M),11,70
9,DT,NB(G),Wilcoxon,Accept,,,Accept,,,GodClass,,,,SGD,5,86
10,DT,NB(M),Wilcoxon,Reject,DT,NB(M),Accept,,,GodClass,,,,Stack-DT,42,16
11,DT,LDA,Wilcoxon,Reject,DT,LDA,Reject,DT,LDA,GodClass,,,,Stack-LR,73,
12,DT,KNN,Wilcoxon,Accept,,,Accept,,,GodClass,,,,Stack-SVM,69,
13,DT,Stack-LR,Wilcoxon,Reject,Stack-LR,DT,Reject,Stack-LR,DT,GodClass,,,,SVM(Lin),42,18
14,DT,Stack-DT,Wilcoxon,Reject,DT,Stack-DT,Accept,,,GodClass,,,,SVM(Poly),36,23
15,DT,Stack-SVM,Wilcoxon,Reject,Stack-SVM,DT,Reject,Stack-SVM,DT,GodClass,,,,SVM(RBF),40,24
16,LR,SVM(Lin),Wilcoxon,Reject,SVM(Lin),LR,Reject,SVM(Lin),LR,GodClass,,,,SVM(Sig),8,74
17,LR,SVM(Poly),Wilcoxon,Reject,SVM(Poly),LR,Reject,SVM(Poly),LR,GodClass,,,,,,
18,LR,SVM(Sig),Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
19,LR,SVM(RBF),Wilcoxon,Reject,SVM(RBF),LR,Reject,SVM(RBF),LR,GodClass,,,,,,
20,LR,MLP,Wilcoxon,Reject,MLP,LR,Accept,,,GodClass,,,,,,
21,LR,SGD,Wilcoxon,Reject,LR,SGD,Reject,LR,SGD,GodClass,,,,,,
22,LR,GP,Wilcoxon,Reject,GP,LR,Accept,,,GodClass,,,,,,
23,LR,NB(B),Wilcoxon,Reject,LR,NB(B),Reject,LR,NB(B),GodClass,,,,,,
24,LR,NB(G),Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
25,LR,NB(M),Wilcoxon,Reject,LR,NB(M),Accept,,,GodClass,,,,,,
26,LR,LDA,Wilcoxon,Reject,LR,LDA,Reject,LR,LDA,GodClass,,,,,,
27,LR,KNN,Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
28,LR,Stack-LR,Wilcoxon,Reject,Stack-LR,LR,Reject,Stack-LR,LR,GodClass,,,,,,
29,LR,Stack-DT,Wilcoxon,Reject,LR,Stack-DT,Accept,,,GodClass,,,,,,
30,LR,Stack-SVM,Wilcoxon,Reject,Stack-SVM,LR,Reject,Stack-SVM,LR,GodClass,,,,,,
31,SVM(Lin),SVM(Poly),Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
32,SVM(Lin),SVM(Sig),Wilcoxon,Reject,SVM(Lin),SVM(Sig),Reject,SVM(Lin),SVM(Sig),GodClass,,,,,,
33,SVM(Lin),SVM(RBF),Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
34,SVM(Lin),MLP,Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
35,SVM(Lin),SGD,Wilcoxon,Reject,SVM(Lin),SGD,Reject,SVM(Lin),SGD,GodClass,,,,,,
36,SVM(Lin),GP,Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
37,SVM(Lin),NB(B),Wilcoxon,Reject,SVM(Lin),NB(B),Reject,SVM(Lin),NB(B),GodClass,,,,,,
38,SVM(Lin),NB(G),Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
39,SVM(Lin),NB(M),Wilcoxon,Reject,SVM(Lin),NB(M),Reject,SVM(Lin),NB(M),GodClass,,,,,,
40,SVM(Lin),LDA,Wilcoxon,Reject,SVM(Lin),LDA,Reject,SVM(Lin),LDA,GodClass,,,,,,
41,SVM(Lin),KNN,Wilcoxon,Reject,SVM(Lin),KNN,Accept,,,GodClass,,,,,,
42,SVM(Lin),Stack-LR,Wilcoxon,Reject,Stack-LR,SVM(Lin),Accept,,,GodClass,,,,,,
43,SVM(Lin),Stack-DT,Wilcoxon,Reject,SVM(Lin),Stack-DT,Reject,SVM(Lin),Stack-DT,GodClass,,,,,,
44,SVM(Lin),Stack-SVM,Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
45,SVM(Poly),SVM(Sig),Wilcoxon,Reject,SVM(Poly),SVM(Sig),Reject,SVM(Poly),SVM(Sig),GodClass,,,,,,
46,SVM(Poly),SVM(RBF),Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
47,SVM(Poly),MLP,Wilcoxon,Reject,SVM(Poly),MLP,Accept,,,GodClass,,,,,,
48,SVM(Poly),SGD,Wilcoxon,Reject,SVM(Poly),SGD,Reject,SVM(Poly),SGD,GodClass,,,,,,
49,SVM(Poly),GP,Wilcoxon,Accept,,,Accept,,,GodClass,,,,,,
50,SVM(Poly),NB(B),Wilcoxon,Reject,SVM(Poly),NB(B),Reject,SVM(Poly),NB(B),GodClass,,,,,,
51,SVM(Poly),NB(G),Wilcoxon,Reject,SVM(Poly),NB(G),Accept,,,GodClass,,,,,,
52,SVM(Poly),NB(M),Wilcoxon,Reject,SVM(Poly),NB(M),Reject,SVM(Poly),NB(M),GodClass,,,,,,
